date,temperature,humidity,luminosity
2020-12-03 16:08:36.360,15.7,19.6,242
2020-12-03 16:08:34.082,15.7,19.6,242
2020-12-03 16:08:31.805,15.7,19.6,243
2020-12-03 16:08:29.528,15.7,19.6,242
2020-12-03 16:08:27.250,15.7,19.6,242
2020-12-03 16:08:24.973,15.7,19.6,242
2020-12-03 16:08:22.695,15.8,19.6,243
2020-12-03 16:08:20.418,15.7,19.6,242
2020-12-03 16:08:18.141,15.8,19.5,242
2020-12-03 16:08:15.863,15.8,19.6,243
2020-12-03 16:08:13.590,15.7,19.6,242
2020-12-03 16:08:11.313,15.7,19.6,242
2020-12-03 16:08:09.035,15.7,19.6,243
2020-12-03 16:08:06.758,15.8,19.6,242
2020-12-03 16:08:04.481,15.8,19.6,242
2020-12-03 16:08:02.203,15.7,19.6,243
2020-12-03 16:07:59.926,15.7,19.6,242
2020-12-03 16:07:57.648,15.8,19.6,242
2020-12-03 16:07:55.371,15.8,19.6,242
2020-12-03 16:07:53.094,15.8,19.6,243
2020-12-03 16:07:50.816,15.8,19.6,242
2020-12-03 16:07:48.539,15.8,19.6,242
2020-12-03 16:07:46.262,15.8,19.5,243
2020-12-03 16:07:43.984,15.8,19.5,243
2020-12-03 16:07:41.707,15.8,19.5,242
2020-12-03 16:07:39.430,15.8,19.6,242
2020-12-03 16:07:37.152,15.8,19.6,242
2020-12-03 16:07:34.875,15.8,19.6,242
2020-12-03 16:07:32.597,15.8,19.5,242
2020-12-03 16:07:30.320,15.8,19.6,242
2020-12-03 16:07:28.043,15.8,19.5,242
2020-12-03 16:07:25.765,15.8,19.5,242
2020-12-03 16:07:23.488,15.8,19.5,243
2020-12-03 16:07:21.211,15.8,19.6,242
2020-12-03 16:07:18.933,15.8,19.6,242
2020-12-03 16:07:16.656,15.8,19.6,242
2020-12-03 16:07:14.379,15.8,19.6,242
2020-12-03 16:07:12.101,15.8,19.6,242
2020-12-03 16:07:09.824,15.8,19.6,242
2020-12-03 16:07:07.547,15.8,19.5,243
2020-12-03 16:07:05.269,15.8,19.5,242
2020-12-03 16:07:02.996,15.8,19.5,242
2020-12-03 16:07:00.719,15.8,19.5,240
2020-12-03 16:06:58.441,15.8,19.5,242
2020-12-03 16:06:56.164,15.8,19.5,242
2020-12-03 16:06:53.887,15.9,19.5,242
2020-12-03 16:06:51.609,15.8,19.5,242
2020-12-03 16:06:49.332,15.9,19.5,242
2020-12-03 16:06:47.055,15.8,19.5,243
2020-12-03 16:06:44.777,15.8,19.4,242
2020-12-03 16:06:42.500,15.9,19.5,242
2020-12-03 16:06:40.222,15.9,19.5,243
2020-12-03 16:06:37.945,15.8,19.4,242
2020-12-03 16:06:35.668,15.9,19.5,242
2020-12-03 16:06:33.390,15.8,19.4,243
2020-12-03 16:06:31.113,15.9,19.5,242
2020-12-03 16:06:28.836,15.9,19.5,242
2020-12-03 16:06:26.558,15.9,19.5,243
2020-12-03 16:06:24.281,15.9,19.5,242
2020-12-03 16:06:22.004,15.9,19.5,242
2020-12-03 16:06:19.726,15.9,19.5,243
2020-12-03 16:06:17.449,15.9,19.5,242
2020-12-03 16:06:15.172,15.9,19.5,242
2020-12-03 16:06:12.894,15.9,19.5,243
2020-12-03 16:06:10.617,15.9,19.6,242
2020-12-03 16:06:08.340,15.9,19.6,242
2020-12-03 16:06:06.062,15.9,19.6,243
2020-12-03 16:06:03.785,15.9,19.5,243
2020-12-03 16:06:01.508,15.9,19.6,242
2020-12-03 16:05:59.230,15.9,19.5,242
2020-12-03 16:05:56.953,15.9,19.5,242
2020-12-03 16:05:54.675,15.9,19.6,243
2020-12-03 16:05:52.398,15.9,19.6,242
2020-12-03 16:05:50.121,15.9,19.6,243
2020-12-03 16:05:47.843,15.9,19.6,243
2020-12-03 16:05:45.566,15.9,19.6,242
2020-12-03 16:05:43.289,15.9,19.6,243
2020-12-03 16:05:41.011,15.9,19.6,243
2020-12-03 16:05:38.734,15.9,19.6,242
2020-12-03 16:05:36.456,15.9,19.5,242
2020-12-03 16:05:34.179,15.9,19.5,243
2020-12-03 16:05:31.902,15.9,19.5,243
2020-12-03 16:05:29.624,15.9,19.5,242
2020-12-03 16:05:27.347,15.9,19.5,242
2020-12-03 16:05:25.070,15.9,19.5,243
2020-12-03 16:05:22.792,15.9,19.4,243
2020-12-03 16:05:20.515,15.9,19.4,243
2020-12-03 16:05:18.238,15.9,19.4,243
2020-12-03 16:05:15.960,15.9,19.4,242
2020-12-03 16:05:13.683,15.9,19.4,242
2020-12-03 16:05:11.406,15.9,19.4,243
2020-12-03 16:05:09.128,15.9,19.4,243
2020-12-03 16:05:06.851,15.9,19.4,242
2020-12-03 16:05:04.574,15.9,19.4,242
2020-12-03 16:05:02.296,15.9,19.4,242
2020-12-03 16:05:00.019,15.9,19.4,242
2020-12-03 16:04:57.746,15.9,19.3,242
2020-12-03 16:04:55.469,15.9,19.4,243
2020-12-03 16:04:53.191,16.0,19.3,243
2020-12-03 16:04:50.914,15.9,19.3,242
2020-12-03 16:04:48.636,16.0,19.4,242
2020-12-03 16:04:46.359,16.0,19.3,245
2020-12-03 16:04:44.082,15.9,19.3,242
2020-12-03 16:04:41.804,15.9,19.3,242
2020-12-03 16:04:39.527,16.0,19.3,242
2020-12-03 16:04:37.250,16.0,19.3,243
2020-12-03 16:04:34.972,16.0,19.3,242
