date,temperature,humidity,luminosity
2020-12-03 16:08:59.133,15.7,19.6,243
2020-12-03 16:08:56.856,15.7,19.6,243
2020-12-03 16:08:54.578,15.7,19.6,242
2020-12-03 16:08:52.301,15.7,19.6,243
2020-12-03 16:08:50.024,15.7,19.6,242
2020-12-03 16:08:47.746,15.7,19.6,242
2020-12-03 16:08:45.469,15.7,19.5,243
2020-12-03 16:08:43.192,15.7,19.6,242
2020-12-03 16:08:40.914,15.7,19.6,242
2020-12-03 16:08:38.637,15.7,19.6,242
2020-12-03 16:08:36.360,15.7,19.6,242
2020-12-03 16:08:34.082,15.7,19.6,242
2020-12-03 16:08:31.805,15.7,19.6,243
2020-12-03 16:08:29.528,15.7,19.6,242
2020-12-03 16:08:27.250,15.7,19.6,242
2020-12-03 16:08:24.973,15.7,19.6,242
2020-12-03 16:08:22.695,15.8,19.6,243
2020-12-03 16:08:20.418,15.7,19.6,242
2020-12-03 16:08:18.141,15.8,19.5,242
2020-12-03 16:08:15.863,15.8,19.6,243
2020-12-03 16:08:13.590,15.7,19.6,242
2020-12-03 16:08:11.313,15.7,19.6,242
2020-12-03 16:08:09.035,15.7,19.6,243
2020-12-03 16:08:06.758,15.8,19.6,242
2020-12-03 16:08:04.481,15.8,19.6,242
2020-12-03 16:08:02.203,15.7,19.6,243
2020-12-03 16:07:59.926,15.7,19.6,242
2020-12-03 16:07:57.648,15.8,19.6,242
2020-12-03 16:07:55.371,15.8,19.6,242
2020-12-03 16:07:53.094,15.8,19.6,243
2020-12-03 16:07:50.816,15.8,19.6,242
2020-12-03 16:07:48.539,15.8,19.6,242
2020-12-03 16:07:46.262,15.8,19.5,243
2020-12-03 16:07:43.984,15.8,19.5,243
2020-12-03 16:07:41.707,15.8,19.5,242
2020-12-03 16:07:39.430,15.8,19.6,242
2020-12-03 16:07:37.152,15.8,19.6,242
2020-12-03 16:07:34.875,15.8,19.6,242
2020-12-03 16:07:32.597,15.8,19.5,242
2020-12-03 16:07:30.320,15.8,19.6,242
2020-12-03 16:07:28.043,15.8,19.5,242
2020-12-03 16:07:25.765,15.8,19.5,242
2020-12-03 16:07:23.488,15.8,19.5,243
2020-12-03 16:07:21.211,15.8,19.6,242
2020-12-03 16:07:18.933,15.8,19.6,242
2020-12-03 16:07:16.656,15.8,19.6,242
2020-12-03 16:07:14.379,15.8,19.6,242
2020-12-03 16:07:12.101,15.8,19.6,242
2020-12-03 16:07:09.824,15.8,19.6,242
2020-12-03 16:07:07.547,15.8,19.5,243
2020-12-03 16:07:05.269,15.8,19.5,242
2020-12-03 16:07:02.996,15.8,19.5,242
2020-12-03 16:07:00.719,15.8,19.5,240
2020-12-03 16:06:58.441,15.8,19.5,242
2020-12-03 16:06:56.164,15.8,19.5,242
2020-12-03 16:06:53.887,15.9,19.5,242
2020-12-03 16:06:51.609,15.8,19.5,242
2020-12-03 16:06:49.332,15.9,19.5,242
